violationid,buildingid,boro,zip,inspectiondate,originalcorrectbydate,newcorrectbydate,novdescription,class,currentstatus,currentstatusdate,currentstatusdate 
10031150,640355,QUEENS,11373.0,2013-11-08,2014-02-15,2014-04-16,"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION           THE            1st RISER  FROM WEST AT NORTH WALL IN THE KITCHEN  LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",A,VIOLATION CLOSED,2014-08-13,2014-08-13
10031151,640355,QUEENS,11373.0,2013-11-08,2014-02-15,2014-04-16,"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE           1st RADIATOR  FROM SOUTH AT WEST WALL,         1st RISER  FROM SOUTH AT WEST WALL IN THE 4th ROOM  FROM NORTH AT WEST LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",A,VIOLATION CLOSED,2014-08-13,2014-08-13
10031152,640355,QUEENS,11373.0,2013-11-08,2014-02-15,2014-04-16,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE           SOUTH WALL,         EAST WALL,         WEST WALL,         NORTH WALL,         1st DOOR FRAME  FROM NORTH AT EAST WALL,         1st DOOR  FROM NORTH AT EAST WALL IN THE 4th ROOM  FROM NORTH AT WEST LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",A,VIOLATION CLOSED,2014-08-13,2014-08-13
10031153,640355,QUEENS,11373.0,2013-11-08,2013-12-17,2014-01-16,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           EAST WALL IN THE 1st ROOM  FROM NORTH AT EAST LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",B,VIOLATION CLOSED,2014-08-13,2014-08-13
10031154,640355,QUEENS,11373.0,2013-11-08,2014-02-15,2014-04-16,"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE           1st RISER  FROM SOUTH AT WEST WALL IN THE 1st ROOM  FROM NORTH AT EAST LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",A,VIOLATION CLOSED,2014-08-13,2014-08-13
10031155,640355,QUEENS,11373.0,2013-11-08,2014-02-15,2014-04-16,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE           1st DOOR  FROM EAST AT SOUTH WALL,         WEST WALL,         CEILING IN THE 1st ROOM  FROM NORTH AT EAST LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",A,VIOLATION CLOSED,2014-08-13,2014-08-13
10031156,640355,QUEENS,11373.0,2013-11-08,2013-12-17,2014-01-16,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           CEILING IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",B,VIOLATION CLOSED,2014-08-13,2014-08-13
10031157,640355,QUEENS,11373.0,2013-11-08,2014-02-15,2014-04-16,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE           1st DOOR  FROM EAST AT SOUTH WALL,         SOUTH WALL,         NORTH WALL,         EAST WALL,         WEST WALL IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",A,VIOLATION CLOSED,2014-08-13,2014-08-13
10031158,640355,QUEENS,11373.0,2013-11-08,2014-02-15,2014-04-16,"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE           1st RISER  FROM NORTH AT EAST WALL IN THE BATHROOM  LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",A,VIOLATION CLOSED,2014-08-13,2014-08-13
10031159,640355,QUEENS,11373.0,2013-11-08,2014-02-15,2014-04-16,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE           1st DOOR  FROM NORTH AT EAST WALL,         NORTH WALL,         CEILING,         SOUTH WALL,         WEST WALL IN THE BATHROOM  LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",A,VIOLATION CLOSED,2014-08-13,2014-08-13
10031376,640355,QUEENS,11373.0,2013-11-08,2014-02-15,2014-04-16,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE 4th ROOM  FROM NORTH AT EAST  LOCATED AT APT 1L, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",A,VIOLATION CLOSED,2014-08-13,2014-08-13
10032781,91413,BRONX,10455.0,2013-11-07,2013-12-11,2013-12-25,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           1st DOOR  FROM NORTH AT EAST WALL IN THE FOYER  LOCATED AT APT 21, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",C,DEFECT LETTER ISSUED,2017-05-16,2017-05-16
10032782,91413,BRONX,10455.0,2013-11-07,2013-12-11,2013-12-25,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           NORTH WALL,         SOUTH WALL IN THE 6th ROOM  FROM EAST LOCATED AT APT 21, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",C,DEFECT LETTER ISSUED,2017-05-16,2017-05-16
10032783,91413,BRONX,10455.0,2013-11-07,2013-12-11,2013-12-25,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           SOUTH WALL IN THE 5th ROOM  FROM EAST LOCATED AT APT 21, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",C,DEFECT LETTER ISSUED,2017-05-16,2017-05-16
10033711,81939,BRONX,10458.0,2013-11-07,2013-12-12,2013-12-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           SOUTH WALL IN THE 1st ROOM  FROM EAST LOCATED AT APT G2, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2016-08-07,2016-08-07
10033712,81939,BRONX,10458.0,2013-11-07,2013-12-12,2013-12-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)          1st DOOR FRAME  FROM WEST AT NORTH WALL IN THE FOYER  LOCATED AT APT G2, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2016-08-07,2016-08-07
10033713,81939,BRONX,10458.0,2013-11-07,2013-12-12,2013-12-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st CLOSET  FROM WEST AT NORTH WALL DOOR,         1st CLOSET  FROM WEST AT NORTH WALL DOOR FRAME IN THE FOYER  LOCATED AT APT G2, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2016-08-07,2016-08-07
10033714,81939,BRONX,10458.0,2013-11-07,2013-12-12,2013-12-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM NORTH AT EAST WALL IN THE 4th ROOM  FROM EAST LOCATED AT APT G2, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2016-08-07,2016-08-07
10034685,940919,QUEENS,11365.0,2013-11-12,2013-12-12,2013-12-26,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM WEST AT NORTH WALL IN THE FOYER  LOCATED AT APT I, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2014-09-22,2014-09-22
10035906,303337,BROOKLYN,11216.0,2013-11-13,2013-12-20,2014-01-19,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING  IN THE 1st ROOM  FROM EAST AT NORTH LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,VIOLATION CLOSED,2015-03-04,2015-03-04
10035908,303337,BROOKLYN,11216.0,2013-11-13,2013-12-20,2014-01-19,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT  LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,VIOLATION CLOSED,2015-03-04,2015-03-04
10035912,303337,BROOKLYN,11216.0,2013-11-13,2013-12-20,2014-01-19,"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE AIR VENT AT THE RADIATOR  IN THE 4th ROOM  FROM EAST AT SOUTH LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,VIOLATION CLOSED,2015-03-04,2015-03-04
10035915,303337,BROOKLYN,11216.0,2013-11-13,2013-12-20,2014-01-19,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT THE CEILING  IN THE 1st ROOM  FROM EAST AT NORTH LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,VIOLATION CLOSED,2015-03-04,2015-03-04
10035937,303337,BROOKLYN,11216.0,2013-11-13,2013-12-20,2014-01-19,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE EAST WALL  IN THE 1st ROOM  FROM EAST AT NORTH LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,VIOLATION CLOSED,2015-03-04,2015-03-04
10035940,303337,BROOKLYN,11216.0,2013-11-13,2013-12-20,2014-01-19,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE LOCKING DEVICE AT  DOOR   IN THE ENTRANCE  LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,VIOLATION CLOSED,2015-03-04,2015-03-04
10035957,303337,BROOKLYN,11216.0,2013-11-13,2014-02-18,2014-04-19,"SECTION 27-2005 ADM CODE  REFIT THE LOWER WINDOW SASH AT WINDOW TO FIRE ESCAPE  IN THE 4th ROOM  FROM EAST AT SOUTH LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",A,VIOLATION CLOSED,2015-03-04,2015-03-04
10035963,303337,BROOKLYN,11216.0,2013-11-13,2013-12-20,2014-01-19,"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE COUNTER-BALANCE AT THE LOWER WINDOW SASH AT THE 1ST WINDOW FROM SOUTH AT WEST  IN THE 4th ROOM  FROM EAST AT NORTH LOCATED AT APT 2F, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,VIOLATION CLOSED,2015-03-04,2015-03-04
10037241,46543,BRONX,10463.0,2013-11-14,2013-12-16,2013-12-30,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           BASEBOARD AT NORTH WALL IN THE 3rd ROOM  FROM EAST LOCATED AT APT A17, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2014-09-23,2014-09-23
10038751,65637,BRONX,10460.0,2013-11-14,2013-12-17,2013-12-31,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           BASEBOARD AT NORTH WALL,         BASEBOARD AT WEST WALL IN THE 1st ROOM  FROM NORTH LOCATED AT APT B6, 2nd STORY, 3rd APARTMENT FROM SOUTH AT WEST",C,VIOLATION CLOSED,2015-06-24,2015-06-24
10039841,628719,QUEENS,11427.0,2013-11-18,2014-02-23,2014-04-24,"SECTION 27-2023 ADMIN. CODE:  PROVIDE SUFFICIENT,PROPER AND SEPARATE METAL RECEPTACLES FOR THE DEPOSIT OF GARBAGE, RUBBISH AND OTHER WASTE MATERIAL AND ARRANGE FOR COLLECTION AND DISPOSAL OF SUCH MATERIAL.",A,VIOLATION CLOSED,2015-10-14,2015-10-14
10043136,60012,BRONX,10457.0,2013-11-16,2013-12-20,2014-01-03,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           2nd CLOSET  FROM WEST AT NORTH WALL DOOR,         2nd CLOSET  FROM WEST AT NORTH WALL DOOR FRAME,         SOUTH WALL IN THE 2nd PRIVATE HALLWAY  FROM NORTH LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2016-08-09,2016-08-09
10043138,60012,BRONX,10457.0,2013-11-16,2013-12-20,2014-01-03,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           BASEBOARD AT NORTH WALL,         WEST WALL IN THE 1st PRIVATE HALLWAY  FROM NORTH LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2016-08-09,2016-08-09
10043139,60012,BRONX,10457.0,2013-11-16,2013-12-20,2014-01-03,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           EAST WALL IN THE KITCHEN  LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2016-08-09,2016-08-09
10043140,60012,BRONX,10457.0,2013-11-16,2013-12-20,2014-01-03,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           1st CLOSET  FROM SOUTH AT WEST WALL DOOR,         1st CLOSET  FROM SOUTH AT WEST WALL DOOR FRAME,         2nd CLOSET  FROM SOUTH AT WEST WALL DOOR,         2nd CLOSET  FROM SOUTH AT WEST WALL DOOR FRAME,         WEST WALL IN THE FOYER  LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2016-08-09,2016-08-09
10043141,60012,BRONX,10457.0,2013-11-16,2013-12-20,2014-01-03,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           PICTURE MOULDING AT WEST WALL,         NORTH WALL,         WEST WALL IN THE 2nd ROOM  FROM NORTH LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2016-08-09,2016-08-09
10043142,60012,BRONX,10457.0,2013-11-16,2013-12-20,2014-01-03,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           SOUTH WALL,         EAST WALL,         WEST WALL IN THE 4th ROOM  FROM NORTH AT WEST LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2016-08-09,2016-08-09
10043847,347520,BROOKLYN,11229.0,2013-11-20,2013-12-23,2014-01-20,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR  FROM NORTH AT EAST WALL,         1st DOOR FRAME  FROM NORTH AT EAST WALL,         SOUTH WALL IN THE FOYER  LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST",C,VIOLATION CLOSED,2015-05-29,2015-05-29
10043849,347520,BROOKLYN,11229.0,2013-11-20,2013-12-23,2014-01-20,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DUMB WAITER  FROM WEST AT NORTH WALL,         NORTH WALL,         SOUTH WALL,         EAST WALL IN THE PRIVATE HALLWAY  LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST",C,VIOLATION CLOSED,2015-05-29,2015-05-29
10043941,121162,BRONX,10453.0,2013-11-20,2014-02-28,2014-04-29,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE 2nd ROOM  FROM NORTH,  THE BATHROOM   LOCATED AT BSMT-APT S4, 3rd BSMT-APT FROM SOUTH AT WEST",A,VIOLATION CLOSED,2017-12-27,2017-12-27
10044716,805266,MANHATTAN,10034.0,2013-11-20,2013-12-23,2014-01-06,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           SOUTH WALL,         EAST WALL,         1st WALL CABINET  FROM EAST AT SOUTH WALL IN THE KITCHEN  LOCATED AT APT 5K, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",C,VIOLATION CLOSED,2017-05-09,2017-05-09
10044717,805266,MANHATTAN,10034.0,2013-11-20,2013-12-23,2014-01-06,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           1st DOOR  FROM SOUTH AT WEST WALL,         1st DOOR FRAME  FROM SOUTH AT WEST WALL IN THE BATHROOM  LOCATED AT APT 5K, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",C,VIOLATION CLOSED,2017-05-09,2017-05-09
10047099,43644,MANHATTAN,10040.0,2013-11-18,2013-12-27,2014-01-10,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)          1st RADIATOR  FROM NORTH AT EAST WALL,         NORTH WALL,         SOUTH WALL,         EAST WALL,         WEST WALL IN THE 1st ROOM  FROM NORTH AT CENTER LOCATED AT APT 6A, 6th STORY, 2nd APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-12-17,2015-12-17
10047101,43644,MANHATTAN,10040.0,2013-11-18,2013-12-27,2014-01-10,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)          CEILING,         1st CLOSET  FROM SOUTH AT WEST WALL DOOR,         1st CLOSET  FROM SOUTH AT WEST WALL DOOR FRAME,         1st CLOSET  FROM SOUTH AT WEST WALL WALL,         SOUTH WALL,         EAST WALL IN THE 3rd ROOM  FROM NORTH AT CENTER LOCATED AT APT 6A, 6th STORY, 2nd APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2015-12-17,2015-12-17
10047792,309250,BROOKLYN,11225.0,2013-11-24,2013-12-27,2014-01-10,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)          1st DOOR FRAME  FROM WEST AT NORTH WALL IN THE FOYER  LOCATED AT APT A10, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2017-04-03,2017-04-03
10047793,309250,BROOKLYN,11225.0,2013-11-24,2013-12-27,2014-01-10,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           1st DOOR  FROM WEST AT NORTH WALL IN THE FOYER  LOCATED AT APT A10, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",C,VIOLATION CLOSED,2017-04-03,2017-04-03
10050321,806336,BRONX,10454.0,2013-11-27,2013-12-30,2014-01-13,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           1st RADIATOR  FROM SOUTH AT WEST WALL IN THE 4th ROOM  FROM NORTH AT WEST LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",C,DEFECT LETTER ISSUED,2017-07-02,2017-07-02
10053315,8132,MANHATTAN,10032.0,2013-11-25,2014-01-01,2014-01-15,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           BASEBOARD AT NORTH WALL IN THE FOYER  LOCATED AT APT 61, 6th STORY, 4th APARTMENT FROM SOUTH AT WEST",C,VIOLATION CLOSED,2016-06-06,2016-06-06
10053348,59165,BRONX,10453.0,2013-11-30,2014-01-01,2014-01-15,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           EAST WALL,         WEST WALL IN THE PRIVATE HALLWAY  LOCATED AT BSMT-APT BASEM, 1st BSMT-APT FROM SOUTH AT WEST",C,VIOLATION CLOSED,2015-04-16,2015-04-16
10053350,59165,BRONX,10453.0,2013-11-30,2014-01-01,2014-01-15,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM WEST AT NORTH WALL,         NORTH WALL,         SOUTH WALL,         WEST WALL IN THE BATHROOM  LOCATED AT BSMT-APT BASEM, 1st BSMT-APT FROM SOUTH AT WEST",C,VIOLATION CLOSED,2015-04-16,2015-04-16
10053393,88143,BRONX,10459.0,2013-11-18,2014-01-01,2014-01-15,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)          SOUTH WALL IN THE 1st ROOM  FROM EAST LOCATED AT APT 12, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",C,DEFECT LETTER ISSUED,2016-06-10,2016-06-10
10053470,129785,BROOKLYN,11232.0,2013-11-23,2014-01-01,2014-01-15,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           EAST WALL IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 1, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",C,VIOLATION CLOSED,2014-10-22,2014-10-22
